Month,Statistic Label,VALUE
1962-01-01 00:01:00,Highest Temperature,11.438461538461537
1962-01-01 00:01:00,Lowest Temperature,-6.092307692307693
1962-01-01 00:01:00,Mean Temperature,5.323076923076924
1962-01-01 00:02:00,Average Maximum Temperature,8.553846153846154
1962-01-01 00:02:00,Average Minimum Temperature,3.207692307692308
1962-01-01 00:02:00,Highest Temperature,12.038461538461538
1962-01-01 00:02:00,Lowest Temperature,-1.4615384615384615
1962-01-01 00:02:00,Mean Temperature,5.892307692307692
1962-01-01 00:03:00,Average Maximum Temperature,7.7846153846153845
1962-01-01 00:03:00,Average Minimum Temperature,1.0076923076923077
1962-01-01 00:03:00,Highest Temperature,12.253846153846155
1962-01-01 00:03:00,Lowest Temperature,-5.730769230769231
1962-01-01 00:03:00,Mean Temperature,4.423076923076923
1962-01-01 00:04:00,Average Maximum Temperature,11.86923076923077
1962-01-01 00:04:00,Average Minimum Temperature,4.184615384615385
1962-01-01 00:04:00,Highest Temperature,18.176923076923078
1962-01-01 00:04:00,Lowest Temperature,0.2
1962-01-01 00:04:00,Mean Temperature,8.053846153846154
1962-01-01 00:05:00,Average Maximum Temperature,13.930769230769231
1962-01-01 00:05:00,Average Minimum Temperature,6.384615384615385
1962-01-01 00:05:00,Highest Temperature,17.876923076923077
1962-01-01 00:05:00,Lowest Temperature,2.3384615384615386
1962-01-01 00:05:00,Mean Temperature,10.176923076923078
1962-01-01 00:06:00,Average Maximum Temperature,16.5
1962-01-01 00:06:00,Average Minimum Temperature,8.36923076923077
1962-01-01 00:06:00,Highest Temperature,21.76923076923077
1962-01-01 00:06:00,Lowest Temperature,2.0153846153846153
1962-01-01 00:06:00,Mean Temperature,12.46923076923077
1962-01-01 00:07:00,Average Maximum Temperature,17.353846153846153
1962-01-01 00:07:00,Average Minimum Temperature,10.753846153846155
1962-01-01 00:07:00,Highest Temperature,21.315384615384616
1962-01-01 00:07:00,Lowest Temperature,6.892307692307692
1962-01-01 00:07:00,Mean Temperature,14.084615384615384
1962-01-01 00:08:00,Average Maximum Temperature,17.16923076923077
1962-01-01 00:08:00,Average Minimum Temperature,10.107692307692307
1962-01-01 00:08:00,Highest Temperature,21.384615384615383
1962-01-01 00:08:00,Lowest Temperature,5.1
1962-01-01 00:08:00,Mean Temperature,13.661538461538461
1962-01-01 00:09:00,Average Maximum Temperature,15.307692307692308
1962-01-01 00:09:00,Average Minimum Temperature,8.623076923076923
1962-01-01 00:09:00,Highest Temperature,18.8
1962-01-01 00:09:00,Lowest Temperature,2.9538461538461536
1962-01-01 00:09:00,Mean Temperature,11.976923076923075
1962-01-01 00:10:00,Average Maximum Temperature,13.915384615384616
1962-01-01 00:10:00,Average Minimum Temperature,7.607692307692308
1962-01-01 00:10:00,Highest Temperature,17.023076923076925
1962-01-01 00:10:00,Lowest Temperature,1.6307692307692307
1962-01-01 00:10:00,Mean Temperature,10.776923076923076
1962-01-01 00:11:00,Average Maximum Temperature,9.253846153846153
1962-01-01 00:11:00,Average Minimum Temperature,3.9615384615384617
1962-01-01 00:11:00,Highest Temperature,12.776923076923076
1962-01-01 00:11:00,Lowest Temperature,-1.3692307692307693
1962-01-01 00:11:00,Mean Temperature,6.638461538461538
1962-01-01 00:12:00,Average Maximum Temperature,7.823076923076922
1962-01-01 00:12:00,Average Minimum Temperature,2.8846153846153846
1962-01-01 00:12:00,Highest Temperature,12.76923076923077
1962-01-01 00:12:00,Lowest Temperature,-4.676923076923076
1962-01-01 00:12:00,Mean Temperature,5.384615384615385
1963-01-01 00:01:00,Average Maximum Temperature,3.169230769230769
1963-01-01 00:01:00,Average Minimum Temperature,-1.6846153846153844
1963-01-01 00:01:00,Highest Temperature,6.615384615384615
1963-01-01 00:01:00,Lowest Temperature,-7.538461538461538
1963-01-01 00:01:00,Mean Temperature,0.7615384615384616
1963-01-01 00:02:00,Average Maximum Temperature,5.3307692307692305
1963-01-01 00:02:00,Average Minimum Temperature,-0.1307692307692308
1963-01-01 00:02:00,Highest Temperature,9.061538461538461
1963-01-01 00:02:00,Lowest Temperature,-6.153846153846154
1963-01-01 00:02:00,Mean Temperature,2.630769230769231
1963-01-01 00:03:00,Average Maximum Temperature,10.153846153846153
1963-01-01 00:03:00,Average Minimum Temperature,3.746153846153846
1963-01-01 00:03:00,Highest Temperature,13.376923076923077
1963-01-01 00:03:00,Lowest Temperature,-1.4307692307692308
1963-01-01 00:03:00,Mean Temperature,6.961538461538462
1963-01-01 00:04:00,Average Maximum Temperature,11.323076923076922
1963-01-01 00:04:00,Average Minimum Temperature,4.992307692307692
1963-01-01 00:04:00,Highest Temperature,16.323076923076922
1963-01-01 00:04:00,Lowest Temperature,-1.3615384615384616
1963-01-01 00:04:00,Mean Temperature,8.176923076923076
1963-01-01 00:05:00,Average Maximum Temperature,13.323076923076922
1963-01-01 00:05:00,Average Minimum Temperature,6.292307692307692
1963-01-01 00:05:00,Highest Temperature,18.876923076923074
